comp_id,event,name,sex,division,bw,gpa,weight_class,dots,s,b,d,total
CPA_042,Full Power,聂博之,M,Unknown,98.2,944.08,100,,305.0,192.5,280.0,777.5
CPA_042,Full Power,李志军,M,Unknown,68.0,935.7,75,,225.0,142.5,260.0,627.5
CPA_042,Full Power,黄鼎一,M,Unknown,101.4,915.36,110,,292.5,187.5,285.0,765.0
CPA_042,Full Power,殷超群,M,Unknown,85.8,864.35,90,,255.0,175.0,240.0,670.0
CPA_042,Full Power,金浩锋,M,Unknown,76.5,864.02,82.5,,245.0,140.0,242.5,627.5
CPA_042,Full Power,梅胜,M,Unknown,73.4,828.23,75,,205.0,140.0,240.0,585.0
CPA_042,Full Power,袁顺锋,M,Unknown,74.4,820.95,75,,230.0,135.0,220.0,585.0
CPA_042,Full Power,刘佳地,M,Unknown,88.5,762.66,90,,210.0,140.0,250.0,600.0
CPA_042,Full Power,刘齐,M,Unknown,55.5,762.61,56,,157.5,97.5,180.0,435.0
CPA_042,Full Power,马林林,M,Unknown,89.9,732.58,90,,225.0,130.0,225.0,580.0
CPA_042,Full Power,邱家鹏,M,Unknown,79.6,713.19,82.5,,200.0,140.0,190.0,530.0
CPA_042,Full Power,单楷荣,M,Unknown,88.9,701.37,90,,212.5,125.0,215.0,552.5
CPA_042,Full Power,何亚琪,M,Unknown,87.8,660.32,90,,195.0,110.0,212.5,517.5
CPA_042,Full Power,周晓川,M,Unknown,81.0,625.37,82.5,,170.0,125.0,175.0,470.0
CPA_042,Full Power,曹语轩,F,Unknown,66.9,611.03,67.5,,110.0,55.0,130.0,295.0
CPA_042,Full Power,赵静怡,F,Unknown,73.3,605.27,75,,130.0,55.0,120.0,305.0
CPA_042,Full Power,吕伟,M,Unknown,66.7,378.86,67.5,,,,250.0,
CPA_042,Full Power,朱鹏飞,M,Unknown,76.6,344.23,82.5,,,,250.0,
CPA_042,Full Power,江海军,M,Unknown,95.7,337.8,100,,,,275.0,
CPA_042,Full Power,党朝磊,M,Unknown,92.7,233.63,100,,,187.5,,
CPA_042,Full Power,童钰伟,M,Unknown,88.4,229.08,90,,,,180.0,
CPA_042,Full Power,许丹丹,M,Unknown,74.4,210.5,75,,,150.0,,
CPA_042,Full Power,李润健,M,Unknown,66.4,197.63,67.5,,,130.0,,
CPA_042,Full Power,陆长冬,M,Unknown,83.5,196.19,90,,,150.0,,
CPA_042,Full Power,吴中宝,M,Unknown,82.1,188.24,82.5,,,142.5,,
CPA_042,Full Power,曹永昊,M,Unknown,66.3,182.43,67.5,,,120.0,,
CPA_042,Full Power,袁顺锋,M,Unknown,74.4,168.4,75,,,120.0,,
CPA_041,Full Power,满军,Unknown,Unknown,72.7,997.76,75,,255.0,180.0,265.0,700.0
CPA_041,Full Power,徐嘉晨,Unknown,Unknown,86.8,987.58,90,,310.0,195.0,265.0,770.0
CPA_041,Full Power,何霄锋,Unknown,Unknown,89.0,976.26,90,,317.5,180.0,272.5,770.0
CPA_041,Full Power,吴坚,Unknown,Unknown,66.5,932.0,67.5,,235.0,140.0,240.0,615.0
CPA_041,Full Power,颜如玉,Unknown,Unknown,55.0,907.41,56,,132.5,77.5,182.5,392.5
CPA_041,Full Power,刘胜尧,Unknown,Unknown,73.6,903.7,75,,225.0,140.0,275.0,640.0
CPA_041,Full Power,郑文涛,Unknown,Unknown,112.8,894.78,125,,330.0,175.0,280.0,785.0
CPA_041,Full Power,张华星,Unknown,Unknown,75.05,885.16,82.5,,275.0,140.0,220.0,635.0
CPA_041,Full Power,Travis,Unknown,Unknown,88.7,873.88,90,,240.0,162.5,285.0,687.5
CPA_041,Full Power,金浪,Unknown,Unknown,74.9,859.03,75,,220.0,135.0,260.0,615.0
CPA_041,Full Power,殷超群,Unknown,Unknown,81.7,848.74,82.5,,240.0,165.0,235.0,640.0
CPA_041,Full Power,杨烨,Unknown,Unknown,46.8,847.1,48,,115.0,65.0,145.0,325.0
CPA_041,Full Power,刘宇,Unknown,Unknown,71.6,830.99,75,,220.0,142.5,215.0,577.5
CPA_041,Full Power,陈生水,Unknown,Unknown,78.0,823.47,82.5,,220.0,145.0,240.0,605.0
CPA_041,Full Power,钱欢,Unknown,Unknown,55.55,821.62,56,,132.5,57.5,167.5,357.5
CPA_041,Full Power,戴鑫宇,Unknown,Unknown,72.3,821.32,75,,225.0,105.0,245.0,575.0
CPA_041,Full Power,吴佳蓓,Unknown,Unknown,51.15,820.68,52,,120.0,75.0,142.5,337.5
CPA_041,Full Power,唐天奇,Unknown,Unknown,66.5,810.77,67.5,,175.0,120.0,240.0,535.0
CPA_041,Full Power,管巧梅,Unknown,Unknown,46.85,808.01,48,,120.0,45.0,145.0,310.0
CPA_041,Full Power,王子康,Unknown,Unknown,79.5,807.39,82.5,,210.0,150.0,240.0,600.0
CPA_041,Full Power,丁晓明,Unknown,Unknown,80.7,804.83,82.5,,225.0,157.5,220.0,602.5
CPA_041,Full Power,叶文俊,Unknown,Unknown,55.9,803.09,56,,170.0,105.0,185.0,460.0
CPA_041,Full Power,季缪贝,Unknown,Unknown,78.3,801.46,82.5,,220.0,140.0,230.0,590.0
CPA_041,Full Power,曾文世,Unknown,Unknown,57.4,794.39,60,,120.0,82.5,150.0,352.5
CPA_041,Full Power,廖青峰,Unknown,Unknown,73.1,790.93,75,,210.0,142.5,205.0,557.5
CPA_041,Full Power,谢荣丽,Unknown,Unknown,53.4,790.66,56,,130.0,75.0,130.0,335.0
CPA_041,Full Power,孙欣妤,Unknown,Unknown,50.75,768.99,52,,120.0,60.0,135.0,315.0
CPA_041,Full Power,王雨豪,Unknown,Unknown,79.9,768.88,82.5,,222.5,135.0,215.0,572.5
CPA_041,Full Power,张逸南,Unknown,Unknown,81.8,767.64,82.5,,220.0,145.0,215.0,580.0
CPA_041,Full Power,马婷,Unknown,Unknown,56.85,759.08,60,,125.0,55.0,155.0,335.0
