comp_id,event,name,sex,division,bw,dots,team,s,b,d,total
IPLCN_001,Full Power,刘琪,M,Open,86.5,503.26,,265.0,152.5,345.0,762.5
IPLCN_001,Full Power,张庆,M,Open,53.8,501.06,,200.0,120.0,220.0,540.0
IPLCN_001,Full Power,龙翔宇,M,Open,84.85,491.84,,275.0,162.5,300.0,737.5
IPLCN_001,Full Power,Kayla AnasyaAfriandy,F,J20-23,75.35,478.51,,182.5,105.0,205.0,492.5
IPLCN_001,Full Power,Bryan Hensen Febrian,M,Open,81.6,473.74,,227.5,167.5,300.0,695.0
IPLCN_001,Full Power,刘源,M,Open,55.85,471.02,,195.0,115.0,215.0,525.0
IPLCN_001,Full Power,戴明锋,M,Open,75.0,466.32,,250.0,145.0,255.0,650.0
IPLCN_001,Full Power,王佳鑫,M,Open,124.8,460.72,,307.5,195.0,310.0,812.5
IPLCN_001,Full Power,王锦杨,M,Open,80.55,460.14,,260.0,145.0,265.0,670.0
IPLCN_001,Full Power,Keglis Dagon,M,Open,70.55,459.47,,210.0,120.0,285.0,615.0
IPLCN_001,Full Power,涂玮,M,Open,59.6,458.3,,215.0,125.0,200.0,540.0
IPLCN_001,Full Power,李硕,M,J20-23,102.0,454.7,,300.0,170.0,275.0,745.0
IPLCN_001,Full Power,郝鹏飞,M,J20-23,76.75,454.29,,255.0,137.5,250.0,642.5
IPLCN_001,Full Power,韦斐扬,M,Open,66.1,453.94,,210.0,135.0,235.0,580.0
IPLCN_001,Full Power,Malkhanov Ikrom,M,Open,109.6,444.81,,260.0,220.0,270.0,750.0
IPLCN_001,Full Power,赵春博,M,Open,99.75,443.65,,275.0,155.0,290.0,720.0
IPLCN_001,Full Power,张宇航,M,Open,67.3,442.2,,230.0,127.5,215.0,572.5
IPLCN_001,Full Power,孙海洋,M,Open,108.7,440.26,,305.0,170.0,265.0,740.0
IPLCN_001,Full Power,唐欣,F,Open,74.7,439.22,,190.0,80.0,180.0,450.0
IPLCN_001,Full Power,姜奕丞,M,Open,83.55,437.19,,230.0,157.5,262.5,650.0
IPLCN_001,Full Power,龚蕾,F,Open,50.4,436.08,,140.0,65.0,145.0,350.0
IPLCN_001,Full Power,王昱凯,M,Open,99.85,431.14,,277.5,172.5,250.0,700.0
IPLCN_001,Full Power,Anggriyani Tugiyo,F,M40-44,59.7,428.14,,132.5,70.0,182.5,385.0
IPLCN_001,Full Power,Unknown,M,M40-44,89.5,427.96,,255.0,170.0,235.0,660.0
IPLCN_001,Full Power,李壮,M,Open,109.0,427.91,,280.0,165.0,275.0,720.0
IPLCN_001,Full Power,肖万里,M,Open,78.95,427.41,,245.0,125.0,245.0,615.0
IPLCN_001,Full Power,金俊伍,M,M40-44,100.1,424.52,,255.0,175.0,260.0,690.0
IPLCN_001,Full Power,赵岩玺,M,J15-19,65.45,423.78,,212.5,115.0,210.0,537.5
IPLCN_001,Full Power,李跃,M,J20-23,142.0,423.04,,327.5,167.5,280.0,775.0
IPLCN_001,Full Power,侯海林,M,M40-44,74.8,422.21,,210.0,145.0,232.5,587.5
IPLCN_001,Full Power,刘大庆,M,M45-49,71.7,421.19,,210.0,152.5,207.5,570.0
IPLCN_001,Full Power,金鹏程,M,Open,90.4,419.36,,255.0,145.0,250.0,650.0
IPLCN_001,Full Power,才让南杰,M,Open,81.8,418.62,,235.0,150.0,230.0,615.0
IPLCN_001,Full Power,崔芳瑜,M,J20-23,81.4,416.39,,205.0,155.0,250.0,610.0
IPLCN_001,Full Power,刘憬鹏,M,J15-19,68.5,411.84,,212.5,122.5,205.0,540.0
IPLCN_001,Full Power,Dimas Nur Hidayatullah,M,Open,55.65,407.26,,167.5,105.0,180.0,452.5
IPLCN_001,Full Power,翰亮国,M,Open,91.1,403.29,,232.5,157.5,237.5,627.5
IPLCN_001,Full Power,孙小涵,F,Open,59.4,401.62,,130.0,70.0,160.0,360.0
IPLCN_001,Full Power,张含,M,Open,80.35,397.19,,210.0,122.5,245.0,577.5
IPLCN_001,Full Power,孙玮柏,M,J15-19,96.1,390.01,,250.0,137.5,235.0,622.5
IPLCN_001,Full Power,郎岱,M,Open,80.4,386.73,,200.0,137.5,225.0,562.5
IPLCN_001,Full Power,杨晶,M,M40-44,84.6,379.07,,202.5,155.0,210.0,567.5
IPLCN_001,Full Power,王敬一,M,M60-64,98.25,372.18,,220.0,155.0,225.0,600.0
IPLCN_001,Full Power,蒋雨杭,M,Open,99.8,361.93,,220.0,137.5,230.0,587.5
IPLCN_001,Full Power,肖骆冬,M,Open,74.8,353.93,,177.5,105.0,210.0,492.5
IPLCN_001,Full Power,廖邦杰,M,Open,78.35,349.09,,225.0,147.5,127.5,500.0
IPLCN_001,Full Power,王艳美,F,M40-44,55.199999999999996,330.6,,115.0,47.5,120.0,282.5
IPLCN_001,Full Power,李政辰,M,J15-19,72.5,311.72,,150.0,75.0,200.0,425.0
IPLCN_001,Full Power,KarimovJamoliddin,M,Open,114.9,308.95,,230.0,200.0,100.0,530.0
IPLCN_001,Bench Only,李正风,M,Open,74.65,127.72,,,177.5,,177.5
IPLCN_001,Bench Only,陈东福,M,J20-23,72.35,124.86,,,170.0,,170.0
IPLCN_001,Bench Only,Malkhanov Ikrom,M,Open,109.6,118.62,,,200.0,,200.0
